X,Z
000,000
001,100
002,101
003,101
004,102
005,102
006,102
007,103
008,103
009,104
00A,104
00B,104
00C,105
00D,105
00E,106
00F,106
010,106
011,107
012,108
013,108
014,109
015,10A
016,10A
017,10B
018,10C
019,10C
01A,10D
01B,10D
01C,10E
01D,10E
01E,10F
01F,10F
020,110
021,110
022,111
023,111
024,112
025,112
026,112
027,113
028,113
029,114
02A,114
02B,114
02C,115
02D,115
02E,116
02F,116
030,116
031,117
032,118
033,118
034,119
035,11A
036,11A
037,11B
038,11C
039,11C
03A,11D
03B,11D
03C,11E
03D,11E
03E,11F
03F,11F
040,120
041,120
042,121
043,121
044,122
045,122
046,122
047,123
048,123
049,124
04A,124
04B,124
04C,125
04D,125
04E,126
04F,126
050,126
051,127
052,128
053,128
054,129
055,12A
056,12A
057,12B
058,12C
059,12C
05A,12D
05B,12D
05C,12E
05D,12E
05E,12F
05F,12F
060,130
061,130
062,131
063,131
064,132
065,132
066,132
067,133
068,133
069,134
06A,134
06B,134
06C,135
06D,135
06E,136
06F,136
070,136
071,137
072,138
073,138
074,139
075,13A
076,13A
077,13B
078,13C
079,13C
07A,13D
07B,13D
07C,13E
07D,13E
07E,13F
07F,13F
080,140
081,140
082,141
083,141
084,142
085,142
086,142
087,143
088,143
089,144
08A,144
08B,144
08C,145
08D,145
08E,146
08F,146
090,146
091,147
092,148
093,148
094,149
095,14A
096,14A
097,14B
098,14C
099,14C
09A,14D
09B,14D
09C,14E
09D,14E
09E,14F
09F,14F
0A0,150
0A1,150
0A2,151
0A3,151
0A4,152
0A5,152
0A6,152
0A7,153
0A8,153
0A9,154
0AA,154
0AB,154
0AC,155
0AD,155
0AE,156
0AF,156
0B0,156
0B1,157
0B2,158
0B3,158
0B4,159
0B5,15A
0B6,15A
0B7,15B
0B8,15C
0B9,15C
0BA,15D
0BB,15D
0BC,15E
0BD,15E
0BE,15F
0BF,15F
0C0,160
0C1,160
0C2,161
0C3,161
0C4,162
0C5,162
0C6,162
0C7,163
0C8,163
0C9,164
0CA,164
0CB,164
0CC,165
0CD,165
0CE,166
0CF,166
0D0,166
0D1,167
0D2,168
0D3,168
0D4,169
0D5,16A
0D6,16A
0D7,16B
0D8,16C
0D9,16C
0DA,16D
0DB,16D
0DC,16E
0DD,16E
0DE,16F
0DF,16F
0E0,170
0E1,170
0E2,171
0E3,171
0E4,172
0E5,172
0E6,172
0E7,173
0E8,173
0E9,174
0EA,174
0EB,174
0EC,175
0ED,175
0EE,176
0EF,176
0F0,176
0F1,177
0F2,178
0F3,178
0F4,179
0F5,17A
0F6,17A
0F7,17B
0F8,17C
0F9,17C
0FA,17D
0FB,17D
0FC,17E
0FD,17E
0FE,17F
0FF,17F
100,180
101,180
102,181
103,181
104,182
105,182
106,182
107,183
108,183
109,184
10A,184
10B,184
10C,185
10D,185
10E,186
10F,186
110,186
111,187
112,188
113,188
114,189
115,18A
116,18A
117,18B
118,18C
119,18C
11A,18D
11B,18D
11C,18E
11D,18E
11E,18F
11F,18F
120,190
121,190
122,191
123,191
124,192
125,192
126,192
127,193
128,193
129,194
12A,194
12B,194
12C,195
12D,195
12E,196
12F,196
130,196
131,197
132,198
133,198
134,199
135,19A
136,19A
137,19B
138,19C
139,19C
13A,19D
13B,19D
13C,19E
13D,19E
13E,19F
13F,19F
140,1A0
141,1A0
142,1A1
143,1A1
144,1A2
145,1A2
146,1A2
147,1A3
148,1A3
149,1A4
14A,1A4
14B,1A4
14C,1A5
14D,1A5
14E,1A6
14F,1A6
150,1A6
151,1A7
152,1A8
153,1A8
154,1A9
155,1AA
156,1AA
157,1AB
158,1AC
159,1AC
15A,1AD
15B,1AD
15C,1AE
15D,1AE
15E,1AF
15F,1AF
160,1B0
161,1B0
162,1B1
163,1B1
164,1B2
165,1B2
166,1B2
167,1B3
168,1B3
169,1B4
16A,1B4
16B,1B4
16C,1B5
16D,1B5
16E,1B6
16F,1B6
170,1B6
171,1B7
172,1B8
173,1B8
174,1B9
175,1BA
176,1BA
177,1BB
178,1BC
179,1BC
17A,1BD
17B,1BD
17C,1BE
17D,1BE
17E,1BF
17F,1BF
180,1C0
181,1C0
182,1C1
183,1C1
184,1C2
185,1C2
186,1C2
187,1C3
188,1C3
189,1C4
18A,1C4
18B,1C4
18C,1C5
18D,1C5
18E,1C6
18F,1C6
190,1C6
191,1C7
192,1C8
193,1C8
194,1C9
195,1CA
196,1CA
197,1CB
198,1CC
199,1CC
19A,1CD
19B,1CD
19C,1CE
19D,1CE
19E,1CF
19F,1CF
1A0,1D0
1A1,1D0
1A2,1D1
1A3,1D1
1A4,1D2
1A5,1D2
1A6,1D2
1A7,1D3
