X,Z
222,20F
223,20F
224,210
225,210
226,210
227,211
228,211
229,212
22A,212
22B,212
22C,213
22D,213
22E,214
22F,214
230,214
231,215
232,215
233,215
234,216
235,216
236,217
237,217
238,217
239,218
23A,218
23B,218
23C,219
23D,219
23E,219
23F,21A
240,21A
241,21B
242,21C
243,21C
244,21D
245,21E
246,21E
247,21F
248,220
249,220
24A,221
24B,222
24C,222
24D,223
24E,224
24F,224
250,225
251,226
252,226
253,227
254,228
255,228
256,229
257,229
258,22A
259,22B
25A,22B
25B,22C
25C,22C
25D,22D
25E,22D
25F,22E
260,22F
261,22F
262,230
263,230
264,231
265,231
266,232
267,233
268,233
269,234
26A,234
26B,235
26C,235
26D,236
26E,236
26F,237
270,238
271,238
272,239
273,239
274,23A
275,23A
276,23B
277,23B
278,23C
279,23C
27A,23D
27B,23D
27C,23E
27D,23E
27E,23F
27F,23F
280,240
281,240
282,241
283,241
284,242
285,242
286,243
287,243
288,244
289,244
28A,245
28B,245
28C,245
28D,246
28E,246
28F,247
290,247
291,248
292,248
293,249
294,249
295,249
296,24A
297,24A
298,24B
299,24B
29A,24C
29B,24C
29C,24C
29D,24D
29E,24D
29F,24E
2A0,24E
2A1,24E
2A2,24F
2A3,24F
2A4,250
2A5,250
2A6,250
2A7,251
2A8,251
2A9,252
2AA,252
2AB,252
2AC,253
2AD,253
2AE,254
2AF,254
2B0,254
2B1,255
2B2,255
2B3,255
2B4,256
2B5,256
2B6,257
2B7,257
2B8,257
2B9,258
2BA,258
2BB,258
2BC,259
2BD,259
2BE,259
2BF,25A
2C0,25A
2C1,25B
2C2,25C
2C3,25C
2C4,25D
2C5,25E
2C6,25E
2C7,25F
2C8,260
2C9,260
2CA,261
2CB,262
2CC,262
2CD,263
2CE,264
2CF,264
2D0,265
2D1,266
2D2,266
2D3,267
2D4,268
2D5,268
2D6,269
2D7,269
2D8,26A
2D9,26B
2DA,26B
2DB,26C
2DC,26C
2DD,26D
2DE,26D
2DF,26E
2E0,26F
2E1,26F
2E2,270
2E3,270
2E4,271
2E5,271
2E6,272
2E7,273
2E8,273
2E9,274
2EA,274
2EB,275
2EC,275
2ED,276
2EE,276
2EF,277
2F0,278
2F1,278
2F2,279
2F3,279
2F4,27A
2F5,27A
2F6,27B
2F7,27B
2F8,27C
2F9,27C
2FA,27D
2FB,27D
2FC,27E
2FD,27E
2FE,27F
2FF,27F
300,280
301,280
302,281
303,281
304,282
305,282
306,283
307,283
308,284
309,284
30A,285
30B,285
30C,285
30D,286
30E,286
30F,287
310,287
311,288
312,288
313,289
314,289
315,289
316,28A
317,28A
318,28B
319,28B
31A,28C
31B,28C
31C,28C
31D,28D
31E,28D
31F,28E
320,28E
321,28E
322,28F
323,28F
324,290
325,290
326,290
327,291
328,291
329,292
32A,292
32B,292
32C,293
32D,293
32E,294
32F,294
330,294
331,295
332,295
333,295
334,296
335,296
336,297
337,297
338,297
339,298
33A,298
33B,298
33C,299
33D,299
33E,299
33F,29A
340,29A
341,29B
342,29C
343,29C
344,29D
345,29E
346,29E
347,29F
348,2A0
349,2A0
34A,2A1
34B,2A2
34C,2A2
34D,2A3
34E,2A4
34F,2A4
350,2A5
351,2A6
352,2A6
353,2A7
354,2A8
355,2A8
356,2A9
357,2A9
358,2AA
359,2AB
35A,2AB
35B,2AC
35C,2AC
35D,2AD
35E,2AD
35F,2AE
360,2AF
361,2AF
362,2B0
363,2B0
364,2B1
365,2B1
366,2B2
367,2B3
368,2B3
369,2B4
36A,2B4
36B,2B5
36C,2B5
36D,2B6
36E,2B6
36F,2B7
370,2B8
371,2B8
372,2B9
373,2B9
374,2BA
375,2BA
376,2BB
377,2BB
378,2BC
379,2BC
37A,2BD
37B,2BD
37C,2BE
37D,2BE
37E,2BF
37F,2BF
380,2C0
381,2C0
382,2C1
383,2C1
384,2C2
385,2C2
386,2C3
387,2C3
388,2C4
389,2C4
38A,2C5
38B,2C5
38C,2C5
38D,2C6
38E,2C6
38F,2C7
390,2C7
391,2C8
392,2C8
393,2C9
394,2C9
395,2C9
396,2CA
397,2CA
398,2CB
399,2CB
39A,2CC
39B,2CC
39C,2CC
39D,2CD
39E,2CD
39F,2CE
3A0,2CE
3A1,2CE
3A2,2CF
3A3,2CF
3A4,2D0
3A5,2D0
3A6,2D0
3A7,2D1
3A8,2D1
3A9,2D2
3AA,2D2
3AB,2D2
3AC,2D3
3AD,2D3
3AE,2D4
3AF,2D4
3B0,2D4
3B1,2D5
3B2,2D5
3B3,2D5
3B4,2D6
3B5,2D6
3B6,2D7
3B7,2D7
3B8,2D7
3B9,2D8
3BA,2D8
3BB,2D8
3BC,2D9
3BD,2D9
3BE,2D9
3BF,2DA
3C0,2DA
3C1,2DB
3C2,2DC
3C3,2DC
3C4,2DD
3C5,2DE
3C6,2DE
3C7,2DF
3C8,2E0
3C9,2E0
3CA,2E1
3CB,2E2
3CC,2E2
3CD,2E3
3CE,2E4
3CF,2E4
3D0,2E5
3D1,2E6
3D2,2E6
3D3,2E7
3D4,2E8
3D5,2E8
3D6,2E9
3D7,2E9
3D8,2EA
3D9,2EB
3DA,2EB
3DB,2EC
3DC,2EC
3DD,2ED
3DE,2ED
3DF,2EE
3E0,2EF
3E1,2EF
3E2,2F0
3E3,2F0
3E4,2F1
3E5,2F1
3E6,2F2
3E7,2F3
3E8,2F3
3E9,2F4
3EA,2F4
3EB,2F5
3EC,2F5
3ED,2F6
3EE,2F6
3EF,2F7
3F0,2F8
3F1,2F8
3F2,2F9
3F3,2F9
3F4,2FA
3F5,2FA
3F6,2FB
3F7,2FB
3F8,2FC
3F9,2FC
3FA,2FD
3FB,2FD
3FC,2FE
3FD,2FE
3FE,2FF
3FF,3FF
400,400
401,7FF
402,7FF
403,7FF
404,7FF
405,7FF
406,7FF
407,7FF
408,7FF
409,7FF
40A,7FF
40B,7FF
40C,7FF
40D,7FF
40E,7FF
40F,7FF
410,7FF
411,7FF
412,7FF
413,7FF
414,7FF
415,7FF
416,7FF
417,7FF
418,7FF
419,7FF
41A,7FF
41B,7FF
41C,7FF
41D,7FF
41E,7FF
41F,7FF
420,7FF
421,7FF
422,7FF
423,7FF
424,7FF
425,7FF
426,7FF
427,7FF
428,7FF
429,7FF
42A,7FF
42B,7FF
42C,7FF
42D,7FF
42E,7FF
42F,7FF
430,7FF
431,7FF
432,7FF
433,7FF
434,7FF
435,7FF
436,7FF
437,7FF
438,7FF
439,7FF
43A,7FF
43B,7FF
43C,7FF
43D,7FF
43E,7FF
43F,7FF
440,7FF
441,7FF
442,7FF
443,7FF
444,7FF
445,7FF
446,7FF
447,7FF
448,7FF
449,7FF
44A,7FF
44B,7FF
44C,7FF
44D,7FF
44E,7FF
44F,7FF
450,7FF
451,7FF
452,7FF
453,7FF
454,7FF
455,7FF
456,7FF
457,7FF
458,7FF
459,7FF
45A,7FF
45B,7FF
45C,7FF
45D,7FF
45E,7FF
45F,7FF
460,7FF
461,7FF
462,7FF
463,7FF
464,7FF
465,7FF
466,7FF
467,7FF
468,7FF
469,7FF
46A,7FF
46B,7FF
46C,7FF
46D,7FF
46E,7FF
46F,7FF
470,7FF
471,7FF
472,7FF
473,7FF
474,7FF
475,7FF
476,7FF
477,7FF
478,7FF
479,7FF
47A,7FF
47B,7FF
47C,7FF
47D,7FF
47E,7FF
47F,7FF
480,7FF
481,7FF
482,7FF
483,7FF
484,7FF
485,7FF
486,7FF
487,7FF
488,7FF
489,7FF
48A,7FF
48B,7FF
48C,7FF
48D,7FF
48E,7FF
48F,7FF
490,7FF
491,7FF
492,7FF
493,7FF
494,7FF
495,7FF
496,7FF
497,7FF
498,7FF
499,7FF
49A,7FF
49B,7FF
49C,7FF
49D,7FF
49E,7FF
49F,7FF
4A0,7FF
4A1,7FF
4A2,7FF
4A3,7FF
4A4,7FF
4A5,7FF
4A6,7FF
4A7,7FF
4A8,7FF
4A9,7FF
4AA,7FF
4AB,7FF
4AC,7FF
4AD,7FF
4AE,7FF
4AF,7FF
4B0,7FF
4B1,7FF
4B2,7FF
4B3,7FF
4B4,7FF
4B5,7FF
4B6,7FF
4B7,7FF
4B8,7FF
4B9,7FF
4BA,7FF
4BB,7FF
4BC,7FF
4BD,7FF
4BE,7FF
4BF,7FF
4C0,7FF
4C1,7FF
4C2,7FF
4C3,7FF
4C4,7FF
4C5,7FF
4C6,7FF
4C7,7FF
4C8,7FF
4C9,7FF
4CA,7FF
4CB,7FF
4CC,7FF
4CD,7FF
4CE,7FF
4CF,7FF
4D0,7FF
4D1,7FF
4D2,7FF
4D3,7FF
4D4,7FF
4D5,7FF
4D6,7FF
4D7,7FF
4D8,7FF
4D9,7FF
4DA,7FF
4DB,7FF
4DC,7FF
4DD,7FF
4DE,7FF
4DF,7FF
4E0,7FF
4E1,7FF
4E2,7FF
4E3,7FF
4E4,7FF
4E5,7FF
4E6,7FF
4E7,7FF
4E8,7FF
4E9,7FF
4EA,7FF
4EB,7FF
4EC,7FF
4ED,7FF
4EE,7FF
4EF,7FF
4F0,7FF
4F1,7FF
4F2,7FF
4F3,7FF
4F4,7FF
4F5,7FF
4F6,7FF
4F7,7FF
4F8,7FF
4F9,7FF
4FA,7FF
4FB,7FF
4FC,7FF
4FD,7FF
4FE,7FF
4FF,7FF
500,7FF
501,7FF
502,7FF
503,7FF
504,7FF
505,7FF
506,7FF
507,7FF
508,7FF
509,7FF
50A,7FF
50B,7FF
50C,7FF
50D,7FF
50E,7FF
50F,7FF
510,7FF
511,7FF
512,7FF
513,7FF
514,7FF
515,7FF
516,7FF
517,7FF
518,7FF
519,7FF
51A,7FF
51B,7FF
51C,7FF
51D,7FF
51E,7FF
51F,7FF
520,7FF
521,7FF
522,7FF
523,7FF
524,7FF
525,7FF
526,7FF
527,7FF
528,7FF
529,7FF
52A,7FF
52B,7FF
52C,7FF
52D,7FF
52E,7FF
52F,7FF
530,7FF
